,cycle,num_units,dropout_rate,loss,accuracy
0,0,5,0.978570928420717,0.5054847002029419,0.7543859481811523
1,0,12,0.29743695085513366,0.3334035277366638,0.9210526347160339
2,0,14,0.4118201389648447,0.2360810935497284,0.9298245906829834
3,0,12,0.8811031971111616,0.599704384803772,0.5877193212509155
4,0,25,0.31321833194595095,0.31800004839897156,0.9298245906829834
5,0,47,0.6925315900777659,0.3694816827774048,0.9210526347160339
6,0,61,0.6596684120694128,0.20554885268211365,0.9736841917037964
7,0,54,0.9560836347232239,0.6119157075881958,0.5877193212509155
8,0,34,0.39486929345022914,0.14425620436668396,0.9824561476707458
9,0,37,0.6063932141279244,0.37687236070632935,0.9298245906829834
10,0,58,0.47013218925576516,0.17857591807842255,0.9210526347160339
11,0,32,0.660173537492685,0.3732222318649292,0.9298245906829834
12,0,57,0.38346222503494787,0.1307663768529892,0.9473684430122375
13,0,42,0.42876870094576613,0.2266678363084793,0.9210526347160339
14,0,55,0.10286335869343821,0.12162631750106812,0.9473684430122375
15,0,39,0.5699649107012649,0.2597130537033081,0.9385964870452881
16,0,58,0.5518162591332588,0.22713345289230347,0.9298245906829834
17,0,55,0.6532008198571336,0.2891078591346741,0.9385964870452881
18,1,41,0.4741091726171064,0.1715918779373169,0.9385964870452881
19,1,33,0.43613822632534427,0.16321448981761932,0.9649122953414917
20,1,57,0.09189749067040166,0.1393602192401886,0.9561403393745422
21,1,61,0.6252220962116866,0.2184479981660843,0.9385964870452881
22,1,27,0.2850280919404472,0.22860711812973022,0.9210526347160339
23,1,51,0.41904836102064824,0.16214574873447418,0.9561403393745422
24,1,56,0.10031737528272242,0.18180914223194122,0.9561403393745422
25,1,14,0.4067182565980576,0.31103256344795227,0.9122806787490845
26,1,60,0.11590702246291965,0.11723139137029648,0.9561403393745422
27,1,33,0.5486828867077161,0.41855019330978394,0.8859649300575256
28,1,50,0.103440397618683,0.11794163286685944,0.9649122953414917
29,1,12,0.35894482656117166,0.46089375019073486,0.6578947305679321
30,2,53,0.09755934621883422,0.09747371077537537,0.9736841917037964
31,2,51,0.09483119454688392,0.16737347841262817,0.9385964870452881
32,2,34,0.4002906620220133,0.31741106510162354,0.9122806787490845
33,2,62,0.4796573562564536,0.14607474207878113,0.9473684430122375
34,2,41,0.493505255286469,0.3779394030570984,0.9385964870452881
35,2,55,0.36368196519036144,0.2015247642993927,0.9298245906829834
36,2,36,0.4116855162389496,0.36427947878837585,0.9473684430122375
37,2,52,0.6246755669682145,0.19268986582756042,0.9561403393745422
38,3,24,0.3062317861791757,0.1970173567533493,0.9210526347160339
39,3,59,0.11150569698237064,0.10298179090023041,0.9736841917037964
40,3,13,0.42057599756175956,0.27198880910873413,0.9298245906829834
41,3,33,0.4566423465245497,0.3614542484283447,0.9210526347160339
42,3,50,0.6367491632919731,0.2580530345439911,0.9298245906829834
43,4,52,0.10496332480885744,0.10656070709228516,0.9561403393745422
44,4,57,0.5556669115159628,0.2505665719509125,0.9035087823867798
45,4,55,0.3743902178483434,0.14375916123390198,0.9649122953414917
46,5,39,0.5605268080020006,0.2535507380962372,0.9122806787490845
47,5,57,0.5473399073133851,0.18209517002105713,0.9473684430122375
48,6,53,0.0983502472125661,0.09792734682559967,0.9561403393745422
