,learning_rate,loss,accuracy
0,0.0064311720501319895,0.3196684718132019,0.8881999850273132
1,0.004311710058685491,0.274442583322525,0.904699981212616
2,0.0018662266976517963,0.25767600536346436,0.9088000059127808
3,0.008663279761354552,0.32976120710372925,0.8884000182151794
4,0.0020547625125911335,0.2764604687690735,0.9027000069618225
5,0.047349893044994734,2.306851625442505,0.10000000149011612
6,0.07780155576901411,2.308689832687378,0.10000000149011612
7,0.0014135935551752292,0.2798411250114441,0.9027000069618225
8,0.02372330072992192,0.4270721673965454,0.8399999737739563
9,0.0038608662714605464,0.29992398619651794,0.8973000049591064
10,0.005059803874660431,0.304767370223999,0.8960000276565552
11,0.059812219011525516,2.3069796562194824,0.10000000149011612
12,0.00016334587611069497,0.37050971388816833,0.8648999929428101
13,0.0001825525480239899,0.34952253103256226,0.8744000196456909
14,0.00011498870747119448,0.3858616054058075,0.8614000082015991
15,0.03146730406166003,0.5338093042373657,0.8057000041007996
16,0.021600820741402044,0.41283321380615234,0.8483999967575073
17,0.0407414465416623,0.5722280740737915,0.7914000153541565
18,0.08626905220714905,2.306737184524536,0.10000000149011612
19,0.024973286104060584,0.5081047415733337,0.8166000247001648
20,0.002423472448467593,0.274234414100647,0.9018999934196472
21,0.021957734465394577,0.4476035237312317,0.8378999829292297
22,0.00022637229697395462,0.34065327048301697,0.8798999786376953
23,0.008313101133778733,0.3238619267940521,0.8860999941825867
24,0.000269190582492607,0.3250381052494049,0.8845000267028809
25,0.06823493012435788,2.3122525215148926,0.10000000149011612
26,0.0036774346621052116,0.2794993221759796,0.9059000015258789
27,0.0017538232373118052,0.2639522850513458,0.9074000120162964
28,0.0006218230782016848,0.2835840880870819,0.8967000246047974
29,0.021023308743480115,0.433578759431839,0.836899995803833
30,0.0023358825194833553,0.2795241177082062,0.906000018119812
31,0.005073432032394336,0.30030587315559387,0.9006999731063843
32,0.00011385953381489404,0.38732242584228516,0.8615999817848206
33,0.007126995609048572,0.3188683092594147,0.8895999789237976
34,0.006859416411328694,0.31608524918556213,0.8863999843597412
35,0.00709254321473583,0.3166819214820862,0.8902000188827515
36,0.06780227021579828,2.308786630630493,0.10000000149011612
37,0.011103525577197581,0.3433910012245178,0.8815000057220459
38,0.0011981845126013866,0.2842109501361847,0.900600016117096
39,0.002046896396312667,0.2642190754413605,0.9071999788284302
40,0.012384930898256393,0.36998802423477173,0.867900013923645
41,0.00015159204611384707,0.36779454350471497,0.8690000176429749
42,0.010006913513545573,0.32307618856430054,0.8910999894142151
43,0.010278118224157006,0.3331447243690491,0.8822000026702881
44,0.0004277083049962071,0.3051283061504364,0.8919000029563904
45,0.00024365700014641978,0.34623414278030396,0.8772000074386597
46,0.0008836597074694356,0.2790239751338959,0.9020000100135803
47,0.0012334805700860007,0.26181164383888245,0.9071999788284302
48,0.005135589606500225,0.2932678163051605,0.8974999785423279
49,0.0020692098656538336,0.2667308747768402,0.907800018787384
