,learning_rate,num_filters,loss,accuracy
0,0.004430375245218264,57,0.2971525490283966,0.8988000154495239
1,0.03410336598413757,63,0.5807642936706543,0.7893999814987183
2,0.004311710058685491,13,0.2952069938182831,0.8974000215530396
3,0.007424908231815005,54,0.3445495367050171,0.8845000267028809
4,0.0020547625125911335,10,0.28356170654296875,0.8977000117301941
5,0.0001479581634542288,16,0.39319512248039246,0.8553000092506409
6,0.0014135935551752292,42,0.27245578169822693,0.9035999774932861
7,0.027321603619774214,50,2.306394577026367,0.10000000149011612
8,0.005059803874660431,41,0.31556564569473267,0.8988999724388123
9,0.03222821784787407,12,0.5702473521232605,0.7985000014305115
10,0.0001825525480239899,55,0.33991262316703796,0.8751999735832214
11,0.0012726958252506754,9,0.29457592964172363,0.8970000147819519
12,0.021600820741402044,51,0.4442443251609802,0.8443999886512756
13,0.040762590410962495,39,0.5373566746711731,0.800599992275238
14,0.024973286104060584,55,0.4352078139781952,0.8424000144004822
15,0.0036427757654632427,23,0.28968536853790283,0.8995000123977661
16,0.00022637229697395462,36,0.33944079279899597,0.8828999996185303
17,0.005572619319129036,61,0.3080054819583893,0.8952000141143799
18,0.06823493012435788,35,2.3085172176361084,0.10000000149011612
19,0.00020783697921338129,27,0.3569878041744232,0.8744000196456909
20,0.0006218230782016848,15,0.30669137835502625,0.8907999992370605
21,0.016246302350907748,32,0.44394198060035706,0.8485999703407288
22,0.005073432032394336,4,0.34051403403282166,0.8762000203132629
23,0.0009384756816024658,9,0.3069896399974823,0.8895999789237976
24,0.006859416411328694,56,0.3241744935512543,0.8851000070571899
25,0.0014436667144263008,8,0.2963789999485016,0.8956000208854675
26,0.011103525577197581,62,0.339773565530777,0.8805999755859375
27,0.006905424378423519,5,0.34903255105018616,0.8781999945640564
28,0.012384930898256393,45,0.36641478538513184,0.875
29,0.08117591698634131,42,2.3062777519226074,0.10000000149011612
30,0.010278118224157006,50,0.3298489451408386,0.8866000175476074
31,0.0011870158031597254,4,0.30773308873176575,0.8894000053405762
32,0.0008836597074694356,57,0.26609140634536743,0.9018999934196472
33,0.000944368923025026,46,0.2669236660003662,0.9023000001907349
34,0.0020692098656538336,8,0.31893134117126465,0.8842999935150146
35,0.07530916041188188,51,2.3189523220062256,0.10000000149011612
36,0.0004232824558620118,7,0.3356883227825165,0.8787000179290771
37,0.09680520367410012,56,2.314422607421875,0.10000000149011612
38,0.0005752740814116687,19,0.3048239052295685,0.8921999931335449
39,0.002655171066269983,62,0.2774181067943573,0.9085000157356262
40,0.0002998532434945437,17,0.339589387178421,0.8763999938964844
41,0.010574430003444458,52,0.3452379107475281,0.8766000270843506
42,0.00025974599147866054,45,0.32500773668289185,0.8822000026702881
43,0.07058512048254167,35,2.3093924522399902,0.10000000149011612
44,0.029038868465087943,4,0.48181161284446716,0.8281999826431274
45,0.007388193931449271,40,0.29368650913238525,0.8971999883651733
46,0.0001942205696972692,33,0.35381412506103516,0.8719000220298767
47,0.04311023736056378,46,0.6259313821792603,0.7682999968528748
48,0.08516933662231996,43,2.3117687702178955,0.10000000149011612
49,0.0022567198219888853,4,0.2993733286857605,0.8950999975204468
